example_id                                                                  | status  | run_time        |
./spec/features/mapping_bens_spec.rb[1:2:1]                                 | passed  | 1.41 seconds    |
./spec/features/navbar_spec.rb[1:1:1]                                       | passed  | 0.21353 seconds |
./spec/features/navbar_spec.rb[1:1:2]                                       | passed  | 0.28975 seconds |
./spec/features/navbar_spec.rb[1:2:1]                                       | passed  | 0.13296 seconds |
./spec/features/navbar_spec.rb[1:2:2]                                       | passed  | 0.32089 seconds |
./spec/features/side_effects_spec.rb[1:1:1]                                 | unknown |                 |
./spec/features/side_effects_spec.rb[1:2:1]                                 | unknown |                 |
./spec/features/side_effects_spec.rb[1:3:1]                                 | unknown |                 |
./spec/features/side_effects_spec.rb[1:4:1]                                 | unknown |                 |
./spec/features/side_effects_spec.rb[1:5:1]                                 | unknown |                 |
./spec/features/side_effects_spec.rb[1:5:2]                                 | unknown |                 |
./spec/features/tags_spec.rb[1:1:1]                                         | passed  | 0.35358 seconds |
./spec/features/tags_spec.rb[1:2:1]                                         | passed  | 0.25514 seconds |
./spec/features/tags_spec.rb[1:3:1]                                         | passed  | 0.37261 seconds |
./spec/features/tags_spec.rb[1:4:1]                                         | passed  | 0.28151 seconds |
./spec/features/tags_spec.rb[2:1:1]                                         | passed  | 0.14321 seconds |
./spec/features/tags_spec.rb[2:1:2]                                         | passed  | 0.15462 seconds |
./spec/helpers/link_to_helper_spec.rb[1:1:1]                                | passed  | 0.00354 seconds |
./spec/helpers/link_to_helper_spec.rb[1:1:2]                                | passed  | 0.00447 seconds |
./spec/helpers/presenter_helper_spec.rb[1:1:1:1]                            | passed  | 0.00203 seconds |
./spec/helpers/presenter_helper_spec.rb[1:1:1:2]                            | passed  | 0.00719 seconds |
./spec/helpers/presenter_helper_spec.rb[1:1:2:1]                            | passed  | 0.00228 seconds |
./spec/helpers/presenter_helper_spec.rb[1:1:3:1]                            | passed  | 0.00724 seconds |
./spec/jobs/update_line_item_job_spec.rb[1:1]                               | passed  | 0.02609 seconds |
./spec/jobs/update_line_item_job_spec.rb[1:2]                               | passed  | 0.02317 seconds |
./spec/jobs/update_line_item_job_spec.rb[1:3:1]                             | passed  | 0.03439 seconds |
./spec/jobs/update_line_item_job_spec.rb[1:3:2]                             | passed  | 0.03263 seconds |
./spec/lib/utils/command/base_spec.rb[1:1:1]                                | passed  | 0.00145 seconds |
./spec/lib/utils/command/base_spec.rb[1:1:2]                                | passed  | 0.00126 seconds |
./spec/lib/utils/command/base_spec.rb[1:1:3]                                | passed  | 0.00127 seconds |
./spec/lib/utils/command/base_spec.rb[1:1:4]                                | passed  | 0.00107 seconds |
./spec/lib/utils/command/base_spec.rb[1:1:5]                                | passed  | 0.00104 seconds |
./spec/lib/utils/command/base_spec.rb[1:1:6:1]                              | passed  | 0.00105 seconds |
./spec/lib/utils/command/compound_spec.rb[1:1]                              | passed  | 0.00323 seconds |
./spec/lib/utils/command/compound_spec.rb[1:2:1]                            | passed  | 0.00219 seconds |
./spec/lib/utils/command/compound_spec.rb[1:3:1]                            | passed  | 0.00208 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:1]                | passed  | 0.00632 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:2:1]              | passed  | 0.00237 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:3]                | passed  | 0.0025 seconds  |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:4]                | passed  | 0.00312 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:5]                | passed  | 0.00263 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:6:1]              | passed  | 0.00234 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:7:1]              | passed  | 0.00256 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:8]                | passed  | 0.00319 seconds |
./spec/lib/utils/usac_utils/form471_import_tool_spec.rb[1:9:1]              | passed  | 0.00476 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:1:1]                  | passed  | 0.00295 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:1:2]                  | passed  | 0.00194 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:1:3]                  | passed  | 0.00152 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:1:4:1]                | passed  | 0.00241 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:1:4:2]                | passed  | 0.00223 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:2:1:1]                | passed  | 0.00835 seconds |
./spec/lib/utils/usac_utils/xlsx_column_map_spec.rb[1:2:2:1]                | passed  | 0.00294 seconds |
./spec/models/allocation_spec.rb[1:1]                                       | passed  | 0.01324 seconds |
./spec/models/campus_spec.rb[1:1:1]                                         | passed  | 0.03705 seconds |
./spec/models/circuit_spec.rb[1:1:1]                                        | unknown |                 |
./spec/models/circuit_spec.rb[1:2:1]                                        | unknown |                 |
./spec/models/concerns/filterable_spec.rb[1:1:1]                            | passed  | 0.00144 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:2:1:1]                        | passed  | 0.0145 seconds  |
./spec/models/concerns/filterable_spec.rb[1:1:2:2:1]                        | passed  | 0.00732 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:3:1:1]                        | passed  | 0.00613 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:3:2:1]                        | passed  | 0.00614 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:4:1:1]                        | passed  | 0.00675 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:4:2:1]                        | passed  | 0.00721 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:4:3:1]                        | passed  | 0.00667 seconds |
./spec/models/concerns/filterable_spec.rb[1:1:5:1]                          | passed  | 0.00168 seconds |
./spec/models/concerns/versioned_spec.rb[1:1]                               | passed  | 0.00522 seconds |
./spec/models/concerns/versioned_spec.rb[1:2:1]                             | passed  | 0.01354 seconds |
./spec/models/concerns/versioned_spec.rb[1:3:1]                             | passed  | 0.01985 seconds |
./spec/models/concerns/versioned_spec.rb[1:3:2]                             | passed  | 0.02133 seconds |
